,fold-change Control1 1b24,fold-change Control1 1b60,fold-change Control2 6a24,fold-change Control2 6a60,fold-change Control2 6b24,fold-change Control2 6b60
IL18BP,inf,-1.941481780926402,-0.3433653436950899,-0.36907412271387907,-0.7971209212426726,-0.7897623868803676
IL18R1,0.2663487928918553,1.42497627672229,3.7887778808917902,3.3599395844191373,3.322971829215479,1.418268240227973
IL1B,-2.8306750593433025,-3.6464428066069474,0.04816717509742917,-0.4807254628794286,4.187750143154506,1.4378664622365267
IL1RN,0.4618521890502624,0.5217280741576115,2.876308698659477,1.492631610803031,2.691251417615158,1.7624201325086886
IL32,0.07113604275473935,0.7595135547177003,0.5419102634115359,0.33143253854163673,1.3207730727970397,0.5924001113305811
IL6,,,,,,
IL6R,-2.087380749101,-0.028679378990897245,-2.0316519175196324,-2.0043625791230797,0.12536031190124503,-2.4219531421918497
IL7,0,inf,0,inf,inf,inf
ITGB2,1.9586400002433713,inf,2.0269081920887264,0.5422777190601935,0.6728570274336442,0.9328181543946128
STAT6,-0.17121318510383182,0.1315243735628533,1.2016351714727875,0.42786748322241513,1.0270535257250113,0.5166259346430495
TGFB1,0.43342760491088494,0.02109937672402333,-4.452631920738439,-1.9433272582052379,-2.651761132745912,-1.4606452980713964
TGFB2,2.023103495824712,1.014307369120394,inf,inf,inf,inf
TGFBI,1.0797775121531374,0.7213132740779498,-0.17945474894574942,0.43498779140881455,-0.05340566042304949,0.7529091609203388
TGFBR1,1.2444573036723847,0.5951291315680087,0.5083413953511159,0.6697264122655548,1.5896209872533695,0.9728383798790364
TGFBR2,0.813109479870139,0.6848365900293855,0.7443859043036941,0.627103022432742,1.6574475445515964,0.7039376161601629
TNF,1.3470632288496718,1.3556545727324074,inf,inf,inf,inf
TNFAIP1,1.6107773703645771,-0.06567226910716131,2.0438825009691275,0.9052070824970877,1.1330254560826174,0.7548292869820495
TNFAIP2,0.46507539119763136,0.6264126404293037,0.9834268792359182,0.4333650708712237,1.3440975754883222,0.8485929451827764
TNFAIP3,-0.024078858809992346,0.2864962991930143,1.047903448644282,0.094233845323886,2.3928614688115695,1.191115218460855
TNFRSF10B,0.407971471894076,0.3646443648700466,0.44123415471545074,-0.30751932410521804,0.7959387120245103,0.509016277403606
TNFRSF10C,-1.0688368561365815,0.16733873839527702,1.3018226051584334,-0.48869268732223303,-0.2830212841690531,-0.2797227600243885
TNFRSF10D,0.5885720822192526,-0.7006358937651875,-0.2768696979217417,-0.6875088203666939,0.8174382845437931,0.06859835319061915
TNFSF10,-0.23484893636035659,0.9163139499759968,-0.9059261123086563,-0.35346198777817145,0.6625644078447018,1.2250323794048983
TNFSF14,0.41503729106888904,2.8420875110581836,inf,1.398006574646269,1.7878417990367905,2.2000086347459753
TNS4,0.6887801251450273,-0.4196775887406768,-0.035545105122374014,0.644114025810227,0.23524287428737442,0.8469568096189193
SERPINB1,0.4749085540086855,0.29496646580488944,1.364222269610535,0.2645721737240129,2.2480320192880097,0.5672144506562748
MSN,1.4150374988242411,2.5992697509639635,-2.982166062231603,0.5086540815053089,-2.1812950187481395,0.23570480907758298
TRIM27,0.3839463095786303,0.185259035584409,0.946708084886106,0.7146689960175207,1.714758641155669,1.0002495417556323
BST1,-0.46789911884292884,2.5040041031613125,-0.39311459730331894,-3.3971161428728713,-0.5922435525807415,-2.6895922194416104
ENOSF1,0.2795778050321123,0.7633864002629636,1.0535889581128164,1.0309280841676716,1.5432409732950314,1.111299811026079
ARHGEF26,1.0799543603944597,-0.06459189490921022,1.2187237547457124,1.1927359968213884,2.4320126093420504,0.4604915289079422
CDH3,-0.4503540325434392,0.012015183691780102,-0.10585458072188599,-0.1475418986020032,0.46659234956445517,0.03779954641094424
CD44,0.04306282860523198,0.07236471154457236,0.2559519023621696,0.4798737068507305,0.6755865107705259,0.7552783696249625
ITGA3,-0.13545491498771509,0.8466190533703325,0.8227246167305012,0.7724580371715143,0.7153600332549725,0.46190246104905985
ITGAL,inf,0,inf,inf,inf,inf
RHOG,0.13088311450282025,0.5598669351909686,0.9811085099614995,0.6183207828590644,0.43503103840638724,0.5298949606833177
DNM1L,0.8176725355631711,0.5867372308181115,1.1772072961785212,0.5206775973649714,1.682538468657528,0.9375811473810839
RIPK1,0.3868170011059406,0.7547288085134671,1.5965162569154436,0.6991047061815242,1.2961137163381193,1.2388106198636009
IKBKG,0.5109456846293,0.8250365870408914,0.8140109946329785,0.28149120250270265,0.6301387066855741,0.17086168418891665
PNRC1,-0.2758750162309679,-0.05015700552537298,-0.5012315750316053,-0.8809467763921376,-0.48587686314083267,-0.7003859598519844
HLA-DQA2,inf,inf,0,0,0,0
HHLA2,-1.1312474382084838,0.2763794924076513,-0.6828026503436821,-0.8131450037037261,0.12201330649003365,-1.0800622696550886
HLA-A,0.05584384832409266,0.6784702066566464,-0.37789373678814697,-0.4554464068565429,-0.12253767372011184,-0.11768712232708509
HLA-B,0.7764825031002726,1.5600621789617557,-0.21950408372125538,-0.7405687430676006,0.46172292461356057,0.49603907921086615
HLA-DOB,0,0,0,0,inf,0
HLA-DRB1,0.8893007667537369,2.916061637623587,-2.2852541372573443,0.923807331226803,-1.4843830937738816,-1.666892999515382
HLA-E,0.1760808574469767,0.9601646543424106,-0.006380719934082335,-0.4612594976276012,0.7859123930782663,0.14827530445989368
HLA-F,0.5882295929789962,1.5610245456925491,0.09765972513358373,-0.7028713414400396,0.6182707011736112,0.5862136253869271
HLA-F-AS1,-0.6899303016573732,-2.5115087068204907,-3.699217139938227,-1.5668670424961282,1.0191269606353344,-4.732660356863852
HLA-G,-1.103586158276049,-2.1254304788454292,-3.398894768942926,-3.43954769097652,-3.2295540016186353,-4.269964269106172
HLA-H,0.014990307055954692,1.376008163441154,-0.8324263378026744,0.8312506279404523,-1.1690588164713773,0.022056905809046536
HLA-J,-1.2857087934412665,-0.5028694786025857,-0.9751252629336065,-1.480700510479654,-3.382372224329682,-0.38632181018368467
HLA-L,0,0,inf,0,0,0
IFI30,0.2360578310949174,0.732029516324701,0.28653132009034127,0.34345745087332064,1.4266634405948457,0.5604137955460321
FGFR1,1.555858354563826,2.7446464413112928,0.14857321576420232,0.20872242727176074,-0.18661679686266744,0.7021791602999286
FGFR2,-0.04181866355032175,-0.3037315968900678,-0.9217450238014128,-0.2434461217183015,0.3006084989532611,-0.22642662251478957
FOS,-0.045830886849677274,0.18485673622237944,1.4749439603140444,-0.5497743887202559,2.0844818002034087,-0.37495777248135753
ICAM1,0.7510652994761866,1.7703326064017104,-2.5671285635113135,-1.5880178018017375,-0.31970783291748606,-0.6094001702098679
JUN,0.9094558804362937,0.1273442971497658,1.4457883020211768,0.22294609722491326,3.5219195700387096,0.9543960690205138
JUNB,1.053907407470902,0.5884606292488295,1.5256165382232776,-0.6793764044952106,2.5178867207430695,-0.04546152583721272
JUND,-0.0950080988244388,0.5931624018096202,0.7362102122326578,0.45217158562656207,1.1146149466383872,0.672588189407498
MAP3K8,-0.6755834662662725,0.7086590455724185,0.10285529242335216,0.023069092453522854,2.2396647475417075,-0.31863104322266467
CCL2,0.0465584337406328,0.7548974488337122,-0.127862776964228,-1.644701860848649,0.6730082678709965,0.052832952794043445
CCL20,-0.8469594805986665,-0.03161246748908353,1.5571872619520901,-0.40274629463789297,2.4757963953460544,0.39738458283822403
CX3CL1,0.06567241845672019,1.9886958291492394,0.03209984185066551,-1.2291610253760408,1.5863410937184583,-0.18553167513912203
CXCL1,0.8098697472704173,-0.10857300348817614,2.182778722064799,1.1332284603350953,2.229960612281141,1.4452784137989347
CXCL10,2.084198025426834,2.664955458649064,0,0,0,inf
CXCL11,2.2384645224666926,2.530101546330984,0.25910830841765914,inf,-0.34078373019220376,5.150944122104589
CXCL2,0.6526458543632105,0.49727857054965036,2.6031438264733247,1.554271541069763,4.142980078705424,2.9277349772618435
CXCL3,1.145921537950399,0.45453725918092175,2.51104720692254,1.0668192915532064,4.1628907414468115,2.067050003080163
CXCL5,0.3141308668679295,-0.03957588564087553,1.2967748751009867,0.5499520164964341,1.9460682467807027,1.0579839428849394
CXCL6,0.592436796488181,1.413546519181747,1.2414171979160982,-1.2316523609506473,2.169082995017269,0.6649898669363291
SERPINF1,1.4962691456235127,2.6710742558926506,-0.23856584267300948,0.1755851618623478,0.7547483578590429,0.3579913555888298
COL1A1,2.6090088995384892,-1.8081244741601583,-0.6554721817155555,-1.398369110947439,1.7445531163676902,-0.42342461292614236
ACE,-2.645008244656509,1.6151865962367387,-0.6448343624653651,0.615436847007803,-0.22158604714185043,-0.3298449632106382
AGT,inf,0.49741851829924455,inf,2.6540488288293145,7.018805391673997,inf
REN,0.5881073345892963,-0.47594705537087384,-2.7074646589597906,-2.592190701358477,-4.124782925271732,-3.544102440877479
IGF1R,0.5146463049371556,0.10789063753785601,-0.8505935049575271,-0.5718934055684135,-0.5236444733280935,-0.22526489319210918
ATP6AP2,-0.27950510966716374,0.5731891078005793,0.7408746888765775,0.6070584842830999,1.3047775324949396,0.6887861946301451
IGF1,inf,1.8369405421969365,0,0,0,0
VDR,0.19776752015710977,0.24553966850962777,0.6921742632692439,0.401764456125175,1.0646205017773465,0.5129010919651323
IFNGR1,-0.26708664320056463,0.8726884124248928,1.6374375803242471,0.6282387221995542,1.607053824837609,0.8627703624060673
IFNGR2,-0.794796456777079,0.22746409269396972,-1.08692018349541,-0.18249362624147297,-0.17329702437493527,-0.6242554250494253
ACE2,-3.424547684893739,0.8961812083654723,3.2218140225285654,3.8315831344559657,2.2014796403975536,3.421175379889484
ADAM17,0.7792630609453931,0.10272034387577325,0.3862945249261445,-0.05659439019053716,-0.2767152625192971,0.8683202241983282
ADAMTSL5,-0.08088176384510576,0.7666922524311189,1.2366261276974606,0.351061809354132,1.828055718568112,0.5968981549929392
AGTR1,0,0,0,inf,0,0
AGTR2,0,0,0,0,inf,0
CAV1,1.6973956044073133,0.2785471604621971,1.6976720298180688,0.2656745450287607,3.7240942847134964,-0.04210439879795876
CAV2,0.17688159293926323,-0.19572267150653447,2.0297727765323326,1.179656552136052,2.7837541326970783,0.5996264918138393
CD14,3.111198785729066,inf,0.872719459014567,-0.15960050504783924,1.07163270074797,0.3276539376068719
CD209,0,0,inf,inf,0,0
CLEC4E,-0.4810642022907936,0.44013364413446154,-1.155869320821988,inf,-2.005952138852764,-2.5183383059456568
EGFR,0.7304666856053257,0.16797688599389649,0.6664340425118382,0.054440980959005444,2.0957369749812,0.5306593921148376
HNRNPC,0.3627710426195943,0.8197344235988926,0.5870419729082533,0.44559478666155516,1.303071715360763,0.6598856541994446
IRAK2,0.18042632022585933,0.14596837019095427,3.5323841409300534,1.8875288507906667,3.985299736273025,2.043074673607768
MAPK11,inf,0,0,inf,0,0
MRC1,inf,inf,0,inf,0,0
MYD88,0.5952583352704408,0.3165595189033793,1.903915916821489,0.6299037417351571,2.5184850312751483,1.1330805588989514
SMAD3,-0.130948417580244,0.202127531455289,1.7061010833689687,0.4364146952115767,1.581319224225285,0.4399990577393472
SMAD4,0.8175642518109602,0.42044661510287695,0.5065844401476408,0.4092468299542952,1.034807688468602,0.5431213919758086
TIMP2,-0.9015644739815001,-0.4813261315829097,1.2847728294241434,-0.03201231362053637,1.5094173770101393,-0.49072819017172686
TIMP3,-0.5660099574001601,-0.05622080128152384,-0.07653175024289915,0.22439459051554997,0.7321003804749509,0.3722485441913506
TIMP4,0.11911124752344655,2.09721420644261,0.8171741069734868,0.7704607751925585,2.6801338872616918,1.2024177466121655
TLR1,1.0102000692071778,0.8522877884753163,0,0,0,inf
TLR10,inf,inf,0,0,0,0
TLR2,inf,1.5214871404727064,inf,inf,inf,inf
TLR3,1.4425167479131988,0.9098695328856722,-1.0834187995154854,0.2584608007868025,inf,-1.11686216453088
TLR4,1.414319400597085,1.3297061702554476,inf,inf,inf,1.278994036318933
TLR5,inf,inf,-0.07099928743507676,0.24341480273374616,1.131290744017267,0.5282316656474341
TLR6,-0.1089651293141132,1.4347909780588877,-0.2671973775172072,0.282056555647188,0.9661716042227412,-0.9471035647818873
TLR7,inf,0,inf,inf,inf,-0.36380484702605187
TLR8,,,,,,
TLR8-AS1,0.1926452775309367,0.3768775391270005,-1.4934691090092516,-0.9125079931563416,inf,-1.2611961879409292
TLR9,0,0,inf,0,0,inf
TMPRSS2,-0.5376302460605237,0.3873032813859633,0.5189763311618687,-0.006093578493613917,1.4292112465342564,0.2238395394855773
TMPRSS7,0,0,inf,-0.5158760907300789,inf,0.3331070379918154
MAPK1,0.37983436543491467,0.6800800564512474,1.3178317386439813,0.7725627248896639,2.3060413964932374,0.9786241671687124
S100A6,0.5420043223571109,0.4604207114646788,0.9207825998942762,0.3884535061347218,1.8667227964154978,0.48287623693171355
APP,0.4003120206317559,0.4970459998830892,-0.13063006575642683,-0.5298375878200017,-0.15565658898468324,-0.35361121024604797
JAK1,0.6039813383351704,0.5545710481199672,0.3881151971591546,0.11229396340812266,1.0281560623665713,0.10701170673809281
MAPK1IP1L,0.41450046921472944,0.37069714579800245,1.42002566170301,0.8067262343323691,1.5031513412508284,1.0316344344704833
NFKBIA,1.2837950581419544,0.4203353013520675,1.0524276809130935,-0.33001230866345754,1.0420366779929573,0.5497541516803854
PIK3AP1,0.76388742561931,-0.08216801453511853,1.4940315943210594,1.117351280188086,2.075496882218454,1.6203520309622756
RIOK2,0.7565873383848923,1.3800107483391189,1.2978774365537733,0.6997969127902346,2.277090448981582,1.5119278188648968
RPL11,0.7894714140678922,0.5299690756079317,0.8035837807607451,0.3536348309105922,1.524648636649625,0.5457679036605746
RPL26,0.4737868558597236,0.2901449802681127,0.6677918308552182,0.22374263038556377,2.2551565808886314,0.468908332166478
SOCS2,-3.476672563585303,0.006383422225551623,0.7236124334180678,1.359131391365532,0.19368874781102707,0.3848044851641484
SOCS2-AS1,0,0,0,inf,0,inf
SOCS4,0.21851380088925543,-0.19916135575500765,1.5289051040026533,1.0265355310804831,2.482533289369566,1.046254765977609
SOCS5,0.1757301827668508,0.28103756648567557,1.5158922500905614,0.9513336126946746,2.0505625163507206,0.9088138545111519
SOCS6,0.5319993533305278,0.09277326807662971,1.211996157327089,0.17182101441750394,2.0358710529554296,0.3624556533668595
SOCS7,0.9994248970560327,1.1685626870210961,0.23627566839328482,0.42501821944281243,0.47044985251509314,0.6154347111801806
STAT3,0.8680229382888741,1.3064886028750193,1.007625275917673,0.2985135723547089,0.8125799190958443,1.277471668130949
STAT4,,,,,,
STAT5A,2.194436412630852,0.7748630049465008,inf,inf,inf,inf
STAT5B,0.16048468668365776,0.8053405126812312,1.1979304199246026,0.7438520849767958,-0.05726148925773131,0.8429655475873268
TRAF2,0.9362705461753389,1.1792329597118745,1.535123006140832,0.5762406219379801,0.3611759323640598,0.877209154684477
ZNFX1,0.3753720912665027,1.3740656723132518,1.7052225845131102,0.698262318557287,0.9730215836755826,1.766340102437848
NOTCH2,0.300552710931042,0.7487490708639303,-0.0034326802873214024,-0.4338185080349372,0.33864676788240405,-0.0783954481686969
NT5DC1,0.4243344988874626,0.4346859596404764,0.13704868997056882,0.3774427318620614,1.4576035538120726,0.5955723992311847
SLC4A1AP,0.69543347884742,1.1746131969049174,0.7857365532280385,0.1981446222908127,0.9406497870493777,0.24537319626615897
KPNA2,-0.13636367446522063,-0.43904613289555156,1.3351767777294152,1.4399332632342712,1.2506272268731495,1.8693991604097877
KPNA3,0.7553760017699434,0.5259857964384071,1.220467175493045,1.030166181846291,2.0986579528491798,1.1234517828133812
KPNA4,-0.2754553757416338,0.9264591513146301,0.743257649930339,0.29795352275813886,1.5979918994227835,0.5628380984564169
KPNA5,inf,2.236854738745492,0.4089094042193032,-1.7404133568431814,-3.708920277359125,-1.2632587781519984
KPNA6,0.5759281887103105,1.2263501605713785,0.451386604930293,0.3841995621587438,-0.35282709181309213,0.1191749916192579
TRIM3,-0.09422788304490586,0.525651034875316,0.6809521647509671,-0.2570819114430552,1.5968090954510703,0.4311472494423664
SLC2A10,0.17981436122392344,0.5187801075484991,1.2770205418084364,1.5686931894558231,3.2509922096890387,2.567487821252024
HLA-C,0.16865859623683327,0.6083558245522835,0.3787147094717354,-0.03882065847700066,0.9205249404789131,0.5566950491762976
CXCL12,,,,,,
IGF2,,,,,,
IGF2R,0.03717894493917236,0.19148907492155806,0.0991264436118228,0.20528834154817838,0.5603095687959558,0.31456280413555693
TMPRSS4,0.19850618265558387,0.6231833708257557,0.8251347348724198,0.19258874722434546,1.9907036110723293,0.3390876235166558
CRP,,,,,,
HIF1A,-1.2905504567122492,0.0997490338953066,-0.8628082370405187,0.1881093966931426,-0.04616408754412855,0.0030388798190827343
LGALS3,0.8210430744927859,0.7529930072354489,1.9264627566530674,0.3559799248661191,2.217526969624132,0.5241895735880873
TNFRSF1A,0.04615636185252376,0.653964437904826,1.1301047087662361,0.0777148847984052,1.1479712981981933,0.10072351273766131
TNFRSF1B,-0.15985279140203465,0.6528576142242642,-0.19693723867124957,-0.7936499970078623,-0.9193702920527695,0.1869047008548562
GAPDH,0.0,0.0,0.0,0.0,0.0,0.0
AGER,0.023103517846898455,3.8242068371514857,1.2103725666247946,-0.2230104505166961,inf,-0.3462030124084506
RELA,0.29121622464603597,0.691197974980016,0.6922207143287052,0.5011376072834729,0.09201250622499585,0.6171592469244911
HMGB1,0.4682700475165445,0.5458482295657062,0.5058363538574138,0.7667313197569466,0.9596979815549057,0.9206318266876246
ESR1,,,,,,
ESR2,0,0,inf,inf,0,inf
RAN,0.5498035968377403,0.3663488296271816,1.0215041710105843,1.033166480521013,1.6577428071860918,1.2120117221310711
NLRX1,-0.32535010700027256,1.2076786373055617,1.3931282520539456,0.6119078428694803,-0.25021729156096867,0.18818463990887233
P2RY6,,,,,,
PTPN11,0.6265243253585524,-0.11693632360191046,0.9369363761476739,0.6121746356426443,1.8571667836621417,0.7693151279945665
GSK3B,0.5062259708999495,1.4181701437413905,0.7686876030954753,0.33061110014094136,1.476996568386867,0.335921289758206
